"","X","Y","C","Class"
"X43",0.160755,0.702042,0.535254925361395,1
"X44",3.288779,0.737797,-0.02119407410184,1
"X45",1.35625,0.029101,0.606451370634737,1
"X46",0.91626,0.59616,0.710663120346715,1
"X47",1.252876,0.500998,0.222243803106057,1
"X48",2.471178,0.39643,0.827105247946459,1
"X49",2.364922,0.992772,0.165629768857074,1
"X50",2.172301,0.283717,0.18785326053652,1
"X51",0.671267,0.055467,0.440006629095844,1
"X52",2.165402,0.152,0.506616126797938,1
"X53",2.661288,0.467768,0.522378828420773,1
"X54",1.92646,0.74119,0.493740365834507,1
"X55",1.899647,0.649203,0.8690719523775,1
"X56",3.82986,0.726794,0.0237586244876842,1
"X57",1.133497,0.516173,0.638239104190062,1
"X58",2.309857,0.767935,0.399550611470484,1
"X59",1.371371,0.956664,0.565697128233596,1
"X60",0.151858,0.284416,0.199881089788323,1
"X61",2.096938,0.411357,0.223823576154854,1
"X62",1.30049,0.720155,0.0151737927093698,1
"X63",3.534799,0.181775,0.227932368364728,1
"X64",1.217877,0.460971,0.499887539899614,1
"X65",2.726977,0.699328,0.706023201169494,1
"X66",0.682141,0.054686,0.298687683933767,1
"X67",0.837813,0.912877,0.953678391847532,1
"X68",0.799211,0.501879,0.860529416625253,1
"X69",0.042015,0.689603,0.515411050208853,1
"X70",0.520977,0.079651,0.507410535573502,1
"X71",0.71972,0.445045,0.367067360450928,1
"X72",0.197504,0.36273,0.251217259390388,1
"X73",1.724494,0.670107,-0.151981699975169,1
"X74",3.57454,0.08528,0.397113142580172,1
"X75",1.416691,0.723741,0.184017621857711,1
"X76",3.037057,0.548241,0.37530205246415,1
"X77",3.644992,0.349585,0.25771676928249,1
"X78",0.049575,0.013442,0.324163018242981,1
"X79",1.023898,0.977225,0.640570181712743,1
"X80",1.815563,0.32859,0.43172137597497,1
"X81",2.312471,0.520445,0.308366078088721,1
"X82",0.855281,0.42998,9.1956890344691e-05,1
"X83",0.760641,0.724534,0.473150891242773,1
"X84",1.48494,0.793583,0.642913120437378,1
"X85",2.725697,0.764628,0.599539897717609,1
"X86",2.789323,0.243674,0.539293246648888,1
"X87",3.803611,0.25148,0.487075012636802,1
"X88",1.591552,0.431951,0.70798339675433,1
"X89",3.102531,0.674293,0.301550950244327,1
"X90",0.565235,0.679348,0.593125309195897,1
"X91",0.985402,0.187597,0.504233433160889,1
"X92",2.948159,0.311962,0.452148983173417,1
"X93",1.323618,0.644543,0.339045179562076,1
"X94",0.552512,0.648435,0.400129616950149,1
"X95",0.635387,0.474052,0.0721178534135228,1
"X96",3.928676,0.204357,0.614233419969818,1
"X97",0.780925,0.800335,0.307728279591275,1
"X98",1.872623,0.814694,0.616328538187997,1
"X99",2.759808,0.162941,0.371606235882674,1
"X100",3.504794,0.648843,0.999848591696447,1
"X101",3.683266,0.59175,0.645324081590491,1
"X102",2.441121,0.097041,0.0586119413493259,1
"X103",0.031457,0.462131,0.36336729255495,1
"X104",3.387011,0.07938,0.411817854555232,1
"X105",1.982598,0.588441,-0.0249249013127754,1
"X106",2.696483,0.24238,0.592476268796776,1
"X107",1.159278,0.190088,1.04852263654705,1
"X108",0.576024,0.996298,0.302348413144577,1
"X109",3.538351,0.281543,0.390613895989224,1
"X110",3.304712,0.77258,0.541622608845517,1
"X111",0.438501,0.884463,0.598172448300209,1
"X112",1.937908,0.82629,0.404285020517701,1
"X113",1.434005,0.338369,0.385989973437623,1
"X114",3.112876,0.655144,0.743709350169904,1
"X115",0.413395,0.150636,0.481736131035696,1
"X116",1.358768,0.479656,0.573598018539028,1
"X117",1.731313,0.95869,0.354163633798571,1
"X118",2.130866,0.004658,0.510662917187943,1
"X119",0.057906,0.933944,0.416218537397013,1
"X120",1.365225,0.699019,0.73987767437096,1
"X121",3.101071,0.982575,0.436840903456866,1
"X122",0.331075,0.263808,1.17026622560056,1
"X123",1.086791,0.353972,-0.0609182242524399,1
"X124",1.996396,0.528335,0.579497942394171,1
"X125",3.845884,0.795806,0.133032228417516,1
"X126",0.985853,0.434387,0.367194633215857,1
"X127",1.688165,0.938172,0.570423301756743,1
"X128",0.161953,0.829518,-0.103526567007088,1
"X129",0.287702,0.857928,0.783592982225116,1
"X130",0.972789,0.916516,0.334862650478485,1
"X131",1.30506,0.621873,0.273150617834123,1
"X132",3.515395,0.462665,1.13333993514605,1
"X133",1.736284,0.812699,0.620958315603137,1
"X134",1.788111,0.112125,0.15921198284139,1
"X135",0.692963,0.831389,0.894905535777146,1
"X136",0.459059,0.283671,0.582792697258072,1
"X137",1.421594,0.942622,0.640237828797574,1
"X138",3.222115,0.997386,0.857977140136496,1
"X139",3.055062,0.603635,0.121684455773517,1
"X140",3.439667,0.514822,0.686799196928356,1
"X141",2.742587,0.603127,0.169101497617044,1
"X142",0.258403,0.395579,0.437819881527815,1
"X143",1.707936,0.209115,0.531356856798199,1
"X144",3.110911,0.81924,0.728598179886271,1
"X145",2.199103,0.812362,0.330839629167975,1
"X146",1.784882,0.387625,-0.0317083336285212,1
"X147",1.886291,0.684541,0.740677157590686,1
"X148",2.886793,0.942807,0.425402968630414,1
"X149",2.7774,0.706607,0.622960647521126,1
"X150",1.463492,0.491627,0.080769902013863,1
"X151",2.073286,0.916573,0.373028547262823,1
"X152",3.728174,0.954035,0.453229185120723,1
"X153",0.0787,0.263543,0.321502653008936,1
"X154",1.37351,0.62181,0.214944161832809,1
"X155",0.698877,0.482423,0.760187935864038,1
"X156",0.448893,0.098618,0.11850639572969,1
"X157",0.735566,0.119708,0.361581254428943,1
"X158",2.724216,0.58073,0.755788107523488,1
"X159",1.635384,0.533324,0.530709612856289,1
"X160",1.288393,0.847085,0.342361539983797,1
"X161",1.18528,0.543564,0.0637745177492376,1
"X162",0.452272,0.70928,0.697639947797451,1
"X163",1.020964,0.583399,0.407426703627463,1
"X164",3.465723,0.52496,1.34146607694378,1
"X165",2.532696,0.959479,0.712404974306231,1
"X166",0.985995,0.008335,0.52754268032534,1
"X167",2.750285,0.620354,0.289440129251125,1
"X168",2.577899,0.245998,0.871875411218409,1
"X169",3.036657,0.930898,0.611779803174208,1
"X170",1.564616,0.954967,0.395705989381507,1
"X171",1.518451,0.978359,0.587111929953378,1
"X172",3.142274,0.434848,0.924905383738756,1
"X173",1.483197,0.185676,0.31597964619897,1
"X174",1.293469,0.897792,0.471828292355041,1
"X175",3.176521,0.047388,0.422673843098391,1
"X176",0.398666,0.166009,0.468011257390252,1
"X177",1.717029,0.111247,0.340076970815792,1
"X178",2.777236,0.026691,0.586680266005217,1
"X179",2.702432,0.510408,0.604656988159904,1
"X180",1.807774,0.762573,0.608189518365252,1
"X181",2.882574,0.514512,0.49544847233879,1
"X182",3.29973,0.231124,0.610821876950985,1
"X183",0.725724,0.585824,0.353577382177324,1
"X184",2.92698,0.244504,0.380749168450093,1
"X185",1.434889,0.489006,0.81944438508422,1
"X186",3.61203,0.621951,0.414565769600733,1
"X187",1.258017,0.242269,0.602688539692792,1
"X188",1.286561,0.568048,0.0978465805438009,1
"X189",0.689474,0.760472,0.568097242223355,1
"X190",0.598052,0.279905,0.442048905027581,1
"X191",3.499457,0.153595,0.491653550749004,1
"X192",3.093691,0.158748,0.507083844676157,1
"X193",1.431273,0.568599,0.713993729212753,1
"X194",0.460369,0.295192,0.211164242054637,1
"X195",0.884156,0.513333,0.236558286343937,1
"X196",3.275009,0.432164,0.580602071444737,1
"X197",1.164767,0.62918,0.719444026909915,1
"X198",0.039219,0.052828,0.537565696264785,1
"X199",2.412745,0.512431,0.282587344213725,1
"X200",0.833625,0.325255,0.151764336637285,1
"X201",0.725273,3.965634,0.920444892403381,2
"X202",0.573147,2.923034,1.20969390613757,2
"X203",1.177763,2.565923,0.51996732919538,2
"X204",0.661644,3.973707,1.76283832116499,2
"X205",0.652245,2.253018,1.27036068105641,2
"X206",0.812158,3.260725,1.37518487092787,2
"X207",0.652892,1.693079,1.06880937007162,2
"X208",0.963136,4.958545,0.526752711300195,2
"X209",1.328618,3.566781,1.10585853708799,2
"X210",1.49669,5.272268,1.32111119514463,2
"X211",1.152723,3.543348,0.455291675965557,2
"X212",1.369882,2.380564,0.885571695020348,2
"X213",1.49389,4.247095,1.01294807696834,2
"X214",1.34549,5.278332,1.28815300582006,2
"X215",0.819666,4.616232,1.09313129092374,2
"X216",1.107822,4.153609,1.16440593464237,2
"X217",1.283312,4.321069,1.28457147310018,2
"X218",0.748762,1.619142,0.597545078072687,2
"X219",0.821916,4.852253,1.05321490871023,2
"X220",0.90795,3.163114,1.27830816371902,2
"X221",1.060966,1.963245,0.63370243232273,2
"X222",1.20534,4.321613,0.728975637821888,2
"X223",1.477937,5.03948,1.0458608148596,2
"X224",1.097946,2.953946,1.33591110980476,2
"X225",0.938634,3.012962,1.25637814294566,2
"X226",0.780331,5.235518,1.07031418412762,2
"X227",0.903332,4.814365,1.00066168416677,2
"X228",0.5591,3.571814,0.947084989975164,2
"X229",1.173636,2.044423,0.927739730011109,2
"X230",1.347315,5.234,1.25117846464819,2
"X231",1.288732,2.683106,0.714366109204274,2
"X232",1.376571,2.091436,0.692026582656269,2
"X233",0.892292,3.81059,1.46176594366859,2
"X234",0.703477,3.956213,0.995045686644208,2
"X235",1.142235,4.972135,0.882506949902449,2
"X236",1.001787,4.217102,1.08737133725917,2
"X237",0.777779,4.493622,0.86173972703216,2
"X238",0.652697,4.836891,1.23717201858995,2
"X239",0.721173,2.798064,1.028197005624,2
"X240",0.967501,5.367249,0.634208664177712,2
"X241",1.334662,2.597372,0.945747883189847,2
"X242",1.368845,1.77,0.873402844947671,2
"X243",0.776253,4.234287,1.74946388216486,2
"X244",0.746947,4.667021,1.31967937461178,2
"X245",1.411469,4.074821,1.18209051509274,2
"X246",0.740597,4.389994,1.12224033037616,2
"X247",1.184165,3.031102,1.05206265781414,2
"X248",1.452709,4.177391,1.22444941642654,2
"X249",1.341934,4.679407,1.34975407696763,2
"X250",0.759816,3.996869,0.956808684485794,2
"X251",1.273906,1.534234,0.401781389032335,2
"X252",0.891859,5.165834,0.989669085659027,2
"X253",1.011748,3.99935,0.211331529393313,2
"X254",1.054506,2.504006,1.14233234249887,2
"X255",1.021894,4.436951,0.66756900741116,2
"X256",1.249096,3.361231,1.25680059608081,2
"X257",0.596855,2.324431,1.91018450728063,2
"X258",0.64177,4.391472,1.23008327328901,2
"X259",1.041153,1.863353,1.29235513704872,2
"X260",1.220983,4.447128,0.900200242606372,2
"X261",0.850268,2.060747,1.18585289755261,2
"X262",1.312062,1.586404,1.43274486564505,2
"X263",0.707436,3.389818,0.781813934342444,2
"X264",1.019011,4.508529,1.15328638225106,2
"X265",0.783086,2.760037,0.987066005600894,2
"X266",0.7404,1.656725,0.682321483331314,2
"X267",0.5208,1.722157,0.903246549244036,2
"X268",1.381679,1.903451,0.770325431819313,2
"X269",0.658734,2.418634,1.22118699438307,2
"X270",0.611377,1.720026,1.03967885066694,2
"X271",1.099438,3.206013,1.1055229321732,2
"X272",1.361092,4.829104,0.856087283263877,2
"X273",0.876255,2.389184,0.733210138266365,2
"X274",0.690748,5.011891,1.12546211447609,2
"X275",0.701393,3.863155,1.04016796355782,2
"X276",1.253097,4.650538,0.857838246768614,2
"X277",1.057211,3.862135,1.30777151825043,2
"X278",1.241162,1.7,0.808294279061983,2
"X279",0.840611,4.937659,0.974864453459014,2
"X280",0.519795,2.816374,1.12345734119768,2
"X281",1.23516,3.869624,1.08342052724005,2
"X282",0.584467,1.922548,1.1494963712229,2
"X283",1.418398,1.71,0.628030314332066,2
"X284",1.370529,3.740063,0.744283068669603,2
"X285",0.966071,4.68502,1.50382682571063,2
"X286",0.748149,4.103231,1.22536068376482,2
"X287",0.533105,2.028217,1.35184215906771,2
"X288",0.813012,4.871033,0.496962868360193,2
"X289",1.380626,5.043905,0.721033799888868,2
"X290",1.038899,5.385811,0.819034982090715,2
"X291",1.174998,4.070992,0.541247035245642,2
"X292",1.482927,3.678969,1.49843929154726,2
"X293",0.795556,4.257588,0.892386644570098,2
"X294",0.550885,1.687598,0.967483186761354,2
"X295",0.597946,3.506649,0.92478240946986,2
"X296",1.219187,3.456902,1.30497977456969,2
"X297",1.422764,3.827562,1.00204551506495,2
"X298",1.265363,1.935044,1.02795696492063,2
"X299",1.139539,2.153101,0.65637453101958,2
"X300",0.668471,3.331001,1.00173420692735,2
"X301",3.841499,2.712392,2.73515133329806,3
"X302",3.265874,3.353799,2.90396394158134,3
"X303",2.419956,2.641744,2.86966580870835,3
"X304",3.131922,2.59268,2.591485696516,3
"X305",1.919251,3.015192,2.67566839763709,3
"X306",3.653976,2.494605,1.8506404388019,3
"X307",3.21453,1.966662,2.55878410502027,3
"X308",2.781111,2.277463,1.87758967376381,3
"X309",2.402959,2.802239,2.15512481076583,3
"X310",3.182097,2.135258,2.24908946663497,3
"X311",3.198566,3.048673,2.80957649087877,3
"X312",2.505896,2.598232,2.68638875148721,3
"X313",2.983629,2.547538,2.58899953276333,3
"X314",2.700613,2.653876,2.73041294939673,3
"X315",2.507695,2.471939,2.65483975938242,3
"X316",2.878039,2.268676,2.85812033394486,3
"X317",2.568892,2.687723,2.06226326035372,3
"X318",2.69394,3.019875,2.25414596793151,3
"X319",3.527832,3.153919,2.30858466778278,3
"X320",3.203677,2.218877,2.8167926173085,3
"X321",2.777954,2.822901,2.00104207299648,3
"X322",3.78305,2.08902,2.56611035783095,3
"X323",3.304181,3.017798,2.73239854861263,3
"X324",3.977555,2.505972,2.07546955030045,3
"X325",3.263746,2.587482,3.30579835716575,3
"X326",3.045912,3.185275,2.56812908333112,3
"X327",2.879968,1.668478,2.814446126693,3
"X328",3.233598,2.545167,2.55855788423813,3
"X329",4.229498,2.065403,2.70559784626231,3
"X330",2.379583,1.876676,2.58429479263904,3
"X331",3.162948,2.754962,2.56210208410916,3
"X332",2.428762,2.33817,2.89277905502401,3
"X333",3.541297,2.33867,1.7781735168161,3
"X334",2.638412,2.533631,2.16047171564164,3
"X335",2.783332,2.32586,2.12786280961472,3
"X336",3.186008,2.274951,2.27889958816524,3
"X337",2.027834,2.851225,2.32563239628999,3
"X338",2.191808,2.17414,2.0102267247569,3
"X339",2.681085,2.396655,2.8185421058768,3
"X340",2.987601,2.69732,2.80159684188739,3
"X341",2.783705,2.178922,2.30179045168981,3
"X342",2.726431,2.496669,2.30161139028421,3
"X343",3.236021,2.751028,2.91525630068023,3
"X344",3.104434,2.561753,2.74694577690068,3
"X345",2.393173,3.532294,2.12300673932991,3
"X346",2.597097,1.977501,2.54078689773787,3
"X347",2.878632,2.90941,2.87932063927678,3
"X348",3.326832,2.811118,2.15914139372182,3
"X349",3.196477,2.166446,2.7071024289409,3
"X350",2.653013,2.265335,1.91968225853256,3
"X351",2.855684,2.526266,2.31901174176739,3
"X352",3.032148,2.495063,2.29204957744754,3
"X353",2.70028,2.469205,2.74040239603577,3
"X354",3.716787,1.876565,2.93769782279646,3
"X355",2.51471,3.181043,2.72626432290878,3
"X356",3.02421,2.312406,2.05977648250643,3
"X357",3.157008,2.537848,2.85079618076915,3
"X358",2.756181,2.614829,2.1782370507449,3
"X359",2.742568,2.867741,2.4174094067478,3
"X360",2.592192,2.704054,2.59349280874005,3
"X361",2.626225,2.598176,3.17804783801783,3
"X362",2.508567,1.939792,2.73102885579561,3
"X363",3.099795,2.887828,2.70617689765559,3
"X364",3.283033,3.137479,2.92096323656429,3
"X365",3.23753,1.924833,2.46275177968143,3
"X366",3.104924,1.886308,3.25506568698736,3
"X367",2.502861,2.470116,2.31743168481571,3
"X368",3.619561,2.532584,2.36222745017828,3
"X369",3.154704,2.162704,2.43570123375126,3
"X370",2.889961,2.274144,2.85976588431126,3
"X371",2.669538,2.488717,1.94177120326539,3
"X372",3.391711,2.002519,2.41839173762678,3
"X373",3.041719,2.793216,1.95368634301252,3
"X374",2.94886,2.523832,2.83165123206303,3
"X375",2.974983,2.559658,2.58059052560393,3
"X376",2.85135,3.138343,3.07104974749341,3
"X377",3.041585,2.1891,2.78562916859269,3
"X378",3.27871,3.120111,2.01934758123433,3
"X379",3.154729,2.922001,2.56549735685614,3
"X380",2.993547,2.433338,2.96773264022249,3
"X381",2.452315,2.625794,2.07105987485315,3
"X382",2.833249,3.067828,2.86298234711201,3
"X383",2.972504,2.630939,2.57219880194094,3
"X384",2.882325,2.690261,2.743407522983,3
"X385",2.810947,2.659502,2.78048942567501,3
"X386",2.286906,2.470892,2.61386110878961,3
"X387",2.895769,3.025914,2.40371024768261,3
"X388",2.395709,2.891312,2.53730122398881,3
"X389",2.873213,3.188846,2.59827440320057,3
"X390",2.678611,2.335079,2.22626814686924,3
"X391",2.767651,2.726053,2.91033016825421,3
"X392",2.288566,2.79594,2.62122898295636,3
"X393",3.37523,2.588055,2.7135908143041,3
"X394",3.366669,3.025123,2.79834056579861,3
"X395",2.849598,2.751661,3.03138104722325,3
"X396",2.636088,2.056805,2.75292186820536,3
"X397",2.9383,2.321199,2.18934065162007,3
"X398",3.080906,2.209603,2.68439361748379,3
"X399",2.404517,2.641618,2.66755947862564,3
"X400",3.248655,2.297291,3.38813839725304,3
"X",4.1,5.1,0.504557508975267,4
"X.1",3.9,4.9,0.94163431506604,4
"X.2",4,5,0.702122579328716,4
"X.3",4.1,5.1,0.887645078357309,4
