Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.04,37.5%,13,10202,"$12,547,888,400",0.064,$33,230,0.068,0,0.191,50,49,0.3,0.454,0.514,0.032,0.312,Africa,Mozambique
0.027,21.8%,66,1589,"$12,451,760,766",0.086,$486,339,0.036,0.1,0.087,66,61,1,0.371,0.594,0.035,0.426,Africa,Namibia
0.05,43.8%,17,,"$6,411,842,066",0.068,$25,270,0.064,0,,58,57,0.3,0.499,0.475,0.026,0.178,Africa,Niger
0.042,32.7%,28,118325,"$411,743,801,712",0.057,$85,938,0.079,0.3,0.16,52,51,0.6,0.441,0.531,0.027,0.444,Africa,Nigeria
0.036,31.0%,3,,"$6,406,727,020",0.11,$62,148,0.041,0.1,,65,61,0.4,0.442,0.535,0.023,0.249,Africa,Rwanda
0.036,32.5%,10,,"$248,286,778",0.076,$108,424,0.039,0.2,0.27,68,64,0.6,0.416,0.549,0.035,0.626,Africa,Sao Tome and Principe
0.038,45.5%,6,3515,"$14,440,676,498",0.05,$54,666,0.046,0.2,,65,62,0.7,0.436,0.534,0.031,0.425,Africa,Senegal
0.019,32.2%,39,,"$1,059,593,023",0.036,$413,76,0.012,0.4,0.112,78,68,1.4,0.222,0.702,0.076,0.526,Africa,Seychelles
0.038,32.4%,12,,"$2,932,273,988",0.163,$82,357,0.112,0,0.21,45,45,0.4,0.42,0.554,0.026,0.386,Africa,Sierra Leone
0.045,,,,,,,,0.095,0,,56,53,0.2,0.475,0.496,0.028,0.377,Africa,Somalia
0.021,32.4%,19,141372,"$403,894,316,555",0.087,$670,200,0.034,0.3,0.09,57,53,1.2,0.296,0.651,0.053,0.627,Africa,South Africa
0.037,,,,"$20,782,116,982",0.017,$32,,0.068,,,55,53,0.2,0.426,0.54,0.034,0.18,Africa,South Sudan
0.034,36.1%,36,16622,"$67,320,812,663",0.067,$119,180,0.054,0.2,,63,60,0.7,0.418,0.551,0.032,0.332,Africa,Sudan
0.031,36.5%,56,,"$4,145,772,237",0.083,$270,104,0.058,0.2,0.09,48,49,0.6,0.384,0.582,0.034,0.214,Africa,Swaziland
0.04,44.9%,26,20747,"$23,874,165,047",0.074,$38,172,0.039,0,0.15,61,59,0.6,0.449,0.52,0.031,0.288,Africa,Tanzania
0.037,48.9%,84,2764,"$3,756,023,048",0.08,$43,270,0.059,0,,57,55,0.4,0.42,0.553,0.027,0.38,Africa,Togo
0.019,62.4%,11,9504,"$45,951,129,422",0.07,$304,144,0.014,0.4,,77,73,1.2,0.233,0.697,0.07,0.661,Africa,Tunisia
0.044,35.0%,33,,"$15,493,320,082",0.093,$41,213,0.049,0.1,0.218,59,57,0.5,0.487,0.489,0.024,0.148,Africa,Uganda
0.043,14.4%,18,8462,"$19,201,691,493",0.062,$87,183,0.059,0.1,0.188,57,54,0.6,0.468,0.505,0.026,0.392,Africa,Zambia
0.032,34.3%,90,9312,"$10,956,226,611",,,242,0.058,0.2,,56,55,0.7,0.408,0.552,0.04,0.33,Africa,Zimbabwe
0.037,36.3%,7,,"$17,870,159,082",0.084,$48,275,0.074,0.1,0.151,61,59,0.6,0.481,0.497,0.022,0.251,Asia,Afghanistan
0.014,38.8%,8,2716,"$10,142,342,770",0.037,$127,500,0.015,0.3,0.178,78,71,1.1,0.204,0.692,0.104,0.634,Asia,Armenia
0.019,40.0%,8,12561,"$65,951,627,200",0.05,$359,225,0.032,0.5,0.19,74,68,1.1,0.224,0.718,0.058,0.536,Asia,Azerbaijan
0.021,35.0%,19,31294,"$111,905,616,039",0.038,$27,302,0.037,0.1,0.133,71,69,0.6,0.311,0.642,0.047,0.312,Asia,Bangladesh
0.02,40.8%,36,,"$1,840,841,618",0.037,$94,274,0.033,0.2,0.14,68,67,0.7,0.291,0.663,0.046,0.356,Asia,Bhutan
0.016,16.8%,101,3832,"$16,691,360,399",0.022,$917,96,0.008,0.6,0.055,80,76,1.1,0.262,0.7,0.038,0.759,Asia,Brunei Darussalam
0.026,21.4%,102,5333,"$12,829,541,141",0.056,$49,173,0.036,0,,74,68,0.9,0.314,0.634,0.051,0.2,Asia,Cambodia
0.012,63.5%,38,2727728,"$7,321,891,954,613",0.051,$274,358,0.013,0.4,0.066,76,74,0.7,0.18,0.735,0.085,0.506,Asia,China
0.014,16.5%,2,3543,"$14,434,619,972",0.094,$310,387,0.014,0.3,0.15,78,70,1,0.174,0.684,0.142,0.53,Asia,Georgia
0.014,23.0%,3,14894,"$248,514,003,083",,,80,,0.7,0.05,87,80,2.2,0.119,0.749,0.132,1,Asia,"Hong Kong SAR, China"
0.021,62.9%,29,749447,"$1,880,100,141,185",0.039,$62,254,0.045,0.1,0.102,68,64,0.7,0.298,0.651,0.051,0.313,Asia,India
0.02,32.2%,48,209009,"$845,931,645,339",0.029,$99,266,0.026,0.1,0.124,72,68,1,0.296,0.653,0.051,0.507,Asia,Indonesia
0.008,48.4%,22,461468,"$5,905,630,870,455",0.1,"$4,641",330,0.002,0.8,0.015,86,79,1,0.132,0.631,0.237,0.912,Asia,Japan
0.023,28.6%,19,78101,"$188,048,960,311",0.039,$458,188,0.018,0.5,,74,64,1.6,0.252,0.683,0.066,0.536,Asia,Kazakhstan
0.014,,,19037,,,,,0.024,,,73,66,0,0.223,0.687,0.09,0.603,Asia,"Korea, Dem. Rep."
0.009,28.7%,6,260440,"$1,202,463,655,510",0.074,"$1,652",225,0.003,0.8,0.058,84,78,1.1,0.157,0.728,0.114,0.82,Asia,"Korea, Rep."
0.027,33.4%,10,3097,"$6,197,766,119",0.062,$71,210,0.025,0.2,0.402,74,66,1.2,0.301,0.656,0.043,0.353,Asia,Kyrgyz Republic
0.028,31.9%,93,,"$8,254,088,067",0.028,$35,362,0.057,0.1,,69,66,0.8,0.362,0.601,0.037,0.343,Asia,Lao PDR
0.01,,,,"$36,634,742,799",,,,,0.6,0.053,82,78,2.5,0.124,0.802,0.074,1,Asia,"Macao SAR, China"
0.018,34.0%,6,75907,"$289,258,937,259",0.038,$384,133,0.007,0.6,0.049,77,72,1.3,0.272,0.678,0.05,0.717,Asia,Malaysia
0.022,9.3%,9,,"$2,162,990,126",0.081,$525,,0.01,0.3,0.102,78,76,1.6,0.294,0.655,0.05,0.412,Asia,Maldives
0.023,24.6%,13,3607,"$8,761,426,371",0.06,$190,192,0.028,0.1,0.166,71,63,1.1,0.27,0.692,0.038,0.685,Asia,Mongolia
0.018,,,14056,,0.018,$19,,0.042,0,0.163,67,63,0,0.257,0.692,0.051,0.319,Asia,Myanmar
0.022,31.5%,29,10391,"$18,850,351,853",0.061,$41,326,0.035,0.1,,69,66,0.5,0.364,0.586,0.05,0.172,Asia,Nepal
0.026,34.6%,21,84845,"$213,685,918,599",0.03,$36,560,0.072,0.1,0.144,67,65,0.6,0.349,0.608,0.043,0.37,Asia,Pakistan
0.025,44.5%,36,40452,"$224,095,219,329",0.044,$105,195,0.025,0.3,0.067,72,65,1,0.349,0.613,0.038,0.45,Asia,Philippines
0.01,27.1%,3,33447,"$274,065,043,106",0.042,"$2,144",84,0.002,0.7,0.054,84,80,1.5,0.169,0.737,0.093,1,Asia,Singapore
0.018,112.9%,37,10421,"$59,178,013,928",0.033,$93,256,0.009,0.2,0.094,77,71,0.9,0.251,0.669,0.08,0.183,Asia,Sri Lanka
0.033,84.5%,24,2395,"$6,522,732,203",0.058,$48,224,0.043,0.1,0.248,71,64,0.8,0.358,0.61,0.032,0.265,Asia,Tajikistan
0.011,36.9%,29,119147,"$345,672,232,116",0.041,$214,264,0.012,0.2,0.069,77,71,1.2,0.189,0.72,0.091,0.454,Asia,Thailand
0.036,11.0%,94,,"$1,128,300,000",0.046,$46,276,0.05,0,0.11,68,65,0.6,0.469,0.5,0.032,0.302,Asia,Timor-Leste
0.022,,,24710,"$29,233,333,333",0.021,$114,,0.05,0.1,,69,61,1,0.289,0.671,0.041,0.487,Asia,Turkmenistan
0.022,97.5%,14,47755,"$45,324,319,955",0.056,$91,205,0.039,0.3,,71,65,0.9,0.293,0.664,0.043,0.362,Asia,Uzbekistan
0.016,40.0%,38,61210,"$135,539,487,317",0.068,$93,941,0.02,0.4,0.17,80,71,1.4,0.231,0.703,0.065,0.31,Asia,Vietnam
0.013,31.5%,6,2173,"$12,890,867,763",0.06,$243,371,0.014,0.5,0.124,80,74,1,0.221,0.676,0.103,0.532,Europe,Albania
,,,,,0.072,"$3,053",,0.002,0.8,,,,0.8,,,,0.873,Europe,Andorra
0.009,52.3%,25,33019,"$415,984,217,115",0.113,"$5,643",170,0.003,0.8,,84,78,1.5,0.146,0.673,0.181,0.659,Europe,Austria
0.012,62.3%,10,29501,"$59,734,593,905",0.049,$311,654,0.004,0.4,0.136,77,65,1.1,0.149,0.712,0.138,0.75,Europe,Belarus
0.012,57.0%,4,59094,"$513,317,999,900",0.105,"$4,914",156,0.004,0.8,,83,78,1.1,0.168,0.658,0.174,0.977,Europe,Belgium
0.009,23.7%,40,7095,"$18,252,896,439",0.099,$471,422,0.006,0.6,0.074,79,73,0.8,0.169,0.678,0.153,0.393,Europe,Bosnia and Herzegovina
0.01,27.2%,18,19216,"$53,542,780,661",0.073,$522,500,0.011,0.5,0.106,78,71,1.4,0.134,0.68,0.186,0.726,Europe,Bulgaria
0.01,21.9%,8,8439,"$61,520,901,516",0.068,$992,196,0.004,0.6,0.097,80,74,1.2,0.151,0.671,0.177,0.578,Europe,Croatia
0.012,22.0%,8,2368,"$24,851,264,943",0.074,"$2,123",149,0.003,0.6,,82,77,1,0.174,0.708,0.118,0.674,Europe,Cyprus
0.01,48.1%,20,43429,"$216,061,200,559",0.075,"$1,545",557,0.003,0.7,0.057,81,75,1.2,0.143,0.699,0.158,0.732,Europe,Czech Republic
0.011,26.4%,6,17997,"$333,743,578,564",0.109,"$6,521",135,0.003,0.9,,82,78,1.3,0.178,0.651,0.171,0.87,Europe,Denmark
0.011,57.6%,7,5603,"$22,542,967,739",0.058,$928,81,0.003,0.8,0.061,81,71,1.4,0.155,0.668,0.176,0.68,Europe,Estonia
0.012,,,,,,,,,0.8,,84,79,1.2,,,,0.411,Europe,Faeroe Islands
0.011,39.0%,14,34749,"$262,379,400,238",0.09,"$4,411",93,0.002,0.9,,84,77,1.7,0.164,0.659,0.177,0.837,Europe,Finland
0.013,64.7%,7,252827,"$2,782,210,861,683",0.116,"$4,968",132,0.004,0.8,,86,79,0.9,0.183,0.646,0.171,0.786,Europe,France
0.008,45.6%,15,311770,"$3,628,110,015,053",0.113,"$4,996",221,0.003,0.8,,83,78,1.1,0.133,0.657,0.21,0.745,Europe,Germany
0.01,45.9%,11,26723,"$289,886,951,188",0.09,"$2,304",224,0.004,0.5,,84,78,1.1,0.146,0.663,0.192,0.766,Europe,Greece
0.009,52.0%,4,24964,"$137,452,115,093",0.079,"$1,096",277,0.006,0.7,0.083,79,71,1.2,0.146,0.685,0.169,0.693,Europe,Hungary
0.014,29.6%,5,5731,"$14,042,801,904",0.092,"$4,051",140,0.002,0.9,0.077,84,81,1.1,0.208,0.669,0.123,0.937,Europe,Iceland
0.016,25.4%,13,13216,"$226,035,376,257",0.088,"$4,306",76,0.003,0.7,,83,79,1.1,0.215,0.67,0.115,0.621,Europe,Ireland
,,,,,,,,,,,,,,,,,0.52,Europe,Isle of Man
0.009,67.7%,6,167416,"$2,196,336,800,620",0.092,"$3,339",285,0.003,0.5,0.046,85,80,1.6,0.14,0.654,0.205,0.684,Europe,Italy
0.018,15.4%,58,2528,"$6,630,214,452",,,164,,,0.139,72,68,,,,,,Europe,Kosovo
0.009,37.1%,16,4371,"$28,480,338,368",0.06,$826,290,0.008,0.7,0.064,79,69,1.1,0.143,0.672,0.185,0.676,Europe,Latvia
0.011,,,,,,,,,0.9,,84,80,1,,,,0.144,Europe,Liechtenstein
0.011,43.1%,22,7287,"$43,083,067,994",0.067,$887,175,0.005,0.6,,79,68,1.6,0.151,0.693,0.155,0.667,Europe,Lithuania
0.011,19.8%,19,4171,"$58,009,863,403",0.067,"$7,751",59,0.002,0.9,,84,79,1.5,0.175,0.685,0.14,0.889,Europe,Luxembourg
0.011,8.4%,3,3122,"$10,395,222,334",0.069,$344,119,0.008,0.6,0.089,77,73,1.1,0.171,0.71,0.118,0.57,Europe,"Macedonia, FYR"
0.01,41.0%,40,857,"$9,302,057,270",0.087,"$1,900",139,0.005,0.7,0.047,83,79,1.2,0.153,0.697,0.15,0.948,Europe,Malta
0.012,30.8%,9,3331,"$7,016,162,818",0.114,$224,228,0.014,0.4,0.144,73,65,0.9,0.165,0.723,0.112,0.449,Europe,Moldova
,,,,"$6,074,506,533",0.044,"$7,180",,0.003,0.8,,,,0.9,,,,1,Europe,Monaco
0.012,20.9%,10,1179,"$4,501,753,898",0.072,$522,372,0.006,0.4,0.097,77,72,1.9,0.193,0.682,0.126,0.633,Europe,Montenegro
0.011,39.6%,8,77419,"$832,755,438,977",0.119,"$5,997",127,0.004,0.9,0.02,83,79,1.2,0.173,0.667,0.159,0.878,Europe,Netherlands
0.012,40.7%,7,28137,"$490,806,911,071",0.099,"$9,908",87,0.003,0.9,,84,79,1.2,0.187,0.661,0.152,0.794,Europe,Norway
0.01,39.5%,32,101313,"$515,771,297,421",0.068,$915,296,0.005,0.6,,81,73,1.3,0.149,0.713,0.137,0.608,Europe,Poland
0.009,42.7%,4,23084,"$237,888,302,256",0.102,"$2,302",275,0.003,0.6,,84,77,1.2,0.15,0.667,0.182,0.612,Europe,Portugal
0.01,43.1%,14,35830,"$182,610,666,616",0.056,$480,222,0.012,0.4,0.121,78,71,1.1,0.15,0.701,0.149,0.54,Europe,Romania
0.013,46.9%,29,730970,"$1,904,793,021,649",0.061,$803,290,0.01,0.5,0.085,76,64,1.4,0.151,0.718,0.13,0.737,Europe,Russian Federation
0.01,,,,,0.055,"$3,553",,0.003,0.5,0.059,86,80,1.1,,,,0.941,Europe,San Marino
0.009,34.0%,13,16185,"$43,749,934,551",0.103,$622,279,0.006,0.4,0.172,77,72,1.3,0.167,0.695,0.138,0.553,Europe,Serbia
0.011,47.6%,18,17349,"$95,877,536,836",0.079,"$1,415",231,0.007,0.7,,80,72,1.1,0.15,0.725,0.125,0.544,Europe,Slovak Republic
0.011,33.9%,6,7249,"$50,250,147,802",0.089,"$2,171",260,0.003,0.7,,83,77,1.1,0.141,0.691,0.169,0.499,Europe,Slovenia
0.01,38.7%,28,125570,"$1,454,534,452,554",0.093,"$2,978",187,0.004,0.7,,86,80,1.1,0.151,0.677,0.173,0.787,Europe,Spain
0.012,52.0%,16,49045,"$536,000,581,090",0.095,"$5,419",122,0.002,0.9,,84,80,1.2,0.166,0.649,0.185,0.852,Europe,Sweden
0.01,28.9%,18,25375,"$658,867,317,929",0.11,"$9,248",63,0.004,0.9,0.027,85,81,1.3,0.149,0.679,0.172,0.737,Europe,Switzerland
0.017,40.0%,6,112459,"$774,754,155,294",0.061,$644,226,0.019,0.4,,78,71,0.9,0.264,0.665,0.072,0.713,Europe,Turkey
0.011,57.1%,24,126438,"$163,421,733,019",0.073,$262,657,0.01,0.3,0.159,76,66,1.2,0.14,0.704,0.156,0.689,Europe,Ukraine
0.013,36.1%,12,188074,"$2,462,484,285,580",0.094,"$3,659",110,0.004,0.9,0.005,83,79,1.2,0.175,0.656,0.169,0.816,Europe,United Kingdom
0.016,13.5%,9,9506,"$29,044,378,668",0.038,$766,36,0.006,0.8,0.068,77,76,1.3,0.198,0.781,0.021,0.886,Middle East,Bahrain
0.019,44.1%,11,212145,"$528,426,099,489",0.068,$483,344,0.016,0.2,0.11,75,72,0.7,0.236,0.712,0.052,0.712,Middle East,"Iran, Islamic Rep."
0.032,27.8%,32,40220,"$191,176,927,521",0.027,$160,312,0.029,0.1,0.136,73,65,0.8,0.409,0.558,0.033,0.691,Middle East,Iraq
0.021,30.2%,20,23254,"$258,216,783,343",0.076,"$2,373",235,0.003,0.7,0.06,84,80,1.2,0.273,0.622,0.105,0.919,Middle East,Israel
0.028,27.7%,12,7064,"$28,840,197,019",0.088,$386,151,0.017,0.3,0.087,75,72,1.1,0.346,0.62,0.034,0.827,Middle East,Jordan
0.021,10.7%,32,32523,"$160,600,006,232",0.026,"$1,349",98,0.009,0.7,0.052,75,73,1.6,0.251,0.728,0.021,0.983,Middle East,Kuwait
0.013,30.2%,9,6349,"$40,078,938,640",0.074,$646,180,0.009,0.5,0.075,82,77,0.8,0.227,0.688,0.085,0.873,Middle East,Lebanon
0.022,22.0%,8,25276,"$69,971,912,138",0.024,$610,62,0.01,0.5,0.062,79,74,1.6,0.257,0.717,0.026,0.757,Middle East,Oman
0.011,11.3%,9,33285,"$169,804,731,108",0.019,"$1,738",36,0.007,0.7,0.055,79,77,1.2,0.134,0.856,0.01,0.988,Middle East,Qatar
0.02,14.5%,21,187070,"$669,506,666,667",0.035,$721,79,0.014,0.5,,77,74,1.9,0.302,0.669,0.029,0.823,Middle East,Saudi Arabia
0.025,39.7%,13,19986,,0.034,$102,336,0.013,0.2,,78,72,0.6,0.355,0.607,0.038,0.561,Middle East,Syrian Arab Republic
0.016,14.1%,13,66108,"$348,594,945,288",0.031,"$1,375",12,0.007,0.8,,78,76,1.3,0.14,0.857,0.003,0.844,Middle East,United Arab Emirates
0.032,32.7%,12,7260,"$29,207,296,703",0.05,$63,248,0.044,0.1,0.25,64,61,0.5,0.413,0.559,0.028,0.323,Middle East,"Yemen, Rep."
,,,,,,,,,,,,,,,,,0.875,Oceania,American Samoa
0.014,47.3%,3,122888,"$1,386,889,147,177",0.092,"$6,114",109,0.004,0.8,0.077,84,80,1,0.189,0.674,0.137,0.889,Oceania,Australia
0.021,38.3%,45,,"$3,753,485,389",0.038,$167,163,0.02,0.3,0.075,73,67,0.8,0.289,0.661,0.05,0.522,Oceania,Fiji
0.017,,,,,,,,,0.5,,78,74,0.8,0.233,0.698,0.07,0.563,Oceania,French Polynesia
0.018,,,,,,,,,0.6,,81,76,,0.271,0.654,0.075,0.942,Oceania,Guam
0.023,31.8%,31,,"$172,253,739",0.108,$181,120,0.047,0.1,,71,65,0.1,0.33,0.631,0.039,0.439,Oceania,Kiribati
,64.8%,17,,"$170,700,000",0.16,$567,128,0.032,0.1,,,,,,,,0.716,Oceania,Marshall Islands
0.024,59.0%,16,,"$310,287,519",0.137,$412,128,0.032,0.2,0.144,70,68,0.3,0.364,0.597,0.039,0.223,Oceania,"Micronesia, Fed. Sts."
0.016,,,,,,,,,0.5,,79,73,0.9,0.231,0.671,0.098,0.679,Oceania,New Caledonia
0.014,34.4%,1,18167,"$163,841,041,662",0.103,"$3,715",172,0.005,0.8,0.061,83,79,1.1,0.204,0.663,0.133,0.862,Oceania,New Zealand
0.03,42.1%,51,,"$12,393,604,089",0.042,$74,194,0.05,0,0.108,64,60,0.3,0.387,0.584,0.028,0.13,Oceania,Papua New Guinea
0.027,18.9%,9,,"$631,791,993",0.07,$245,224,0.016,0.1,0.1,76,70,,0.381,0.569,0.051,0.199,Oceania,Samoa
0.032,26.2%,42,,"$868,574,141",0.077,$124,80,0.026,0.1,0.132,69,66,0.5,0.406,0.561,0.033,0.205,Oceania,Solomon Islands
0.027,25.4%,16,,"$423,038,017",0.05,$219,164,0.011,0.3,0.114,75,69,0.5,0.374,0.568,0.058,0.234,Oceania,Tonga
0.027,8.4%,35,,"$785,745,262",0.038,$125,120,0.015,0.1,0.055,73,69,0.6,0.378,0.582,0.04,0.249,Oceania,Vanuatu
0.017,41.0%,21,,"$1,127,037,037",0.055,$703,207,0.008,0.5,0.109,78,73,2,0.258,0.67,0.072,0.257,The Americas,Antigua and Barbuda
0.017,107.7%,25,80112,"$557,727,273,773",0.079,$866,415,0.013,0.5,0.141,80,72,1.5,0.246,0.646,0.107,0.911,The Americas,Argentina
0.011,,,,"$2,584,463,687",,,,,0.7,0.097,78,73,,0.204,0.689,0.107,0.427,The Americas,Aruba
0.015,46.6%,24,,"$7,872,584,000",0.075,"$1,622",58,0.011,0.7,0.051,78,72,0.8,0.22,0.708,0.072,0.826,The Americas,"Bahamas, The"
0.013,41.1%,18,,"$4,368,900,000",0.072,$935,245,0.014,0.7,0.087,77,73,1.2,0.191,0.704,0.105,0.319,The Americas,Barbados
0.024,33.2%,44,,"$1,489,000,000",0.058,$264,147,0.015,0.2,0.134,77,71,0.7,0.349,0.612,0.039,0.447,The Americas,Belize
0.012,,,,"$5,550,771,000",,,,,0.9,,82,77,,,,,1,The Americas,Bermuda
0.026,80.0%,49,7704,"$23,948,541,156",0.05,$115,1080,0.033,0.3,0.109,69,65,0.8,0.356,0.596,0.048,0.669,The Americas,Bolivia
0.015,66.3%,119,270028,"$2,476,694,763,271",0.089,"$1,119",2600,0.014,0.5,0.439,77,70,1.2,0.25,0.679,0.071,0.846,The Americas,Brazil
0.011,26.1%,5,251845,"$1,778,632,046,933",0.109,"$5,656",131,0.005,0.8,0.03,83,79,0.8,0.164,0.691,0.145,0.811,The Americas,Canada
0.015,,,,,,,,,0.7,,,,1.7,,,,1,The Americas,Cayman Islands
0.014,24.5%,8,33574,"$251,162,316,598",0.071,"$1,022",316,0.007,0.5,0.09,82,76,1.3,0.217,0.688,0.094,0.888,The Americas,Chile
0.019,76.4%,14,31613,"$335,415,156,702",0.065,$466,193,0.015,0.4,0.112,77,70,1,0.284,0.658,0.058,0.753,The Americas,Colombia
0.016,55.3%,60,4655,"$41,237,296,807",0.102,$883,246,0.009,0.4,0.161,82,77,0.9,0.244,0.689,0.067,0.729,The Americas,Costa Rica
0.01,,,11187,"$68,233,900,000",0.106,$648,,0.006,0.2,,81,77,0.1,0.169,0.703,0.127,0.767,The Americas,Cuba
0.013,,,,,,,,,,,81,74,1.4,0.197,0.669,0.134,0.898,The Americas,Curacao
,37.1%,12,,"$491,481,481",0.06,$402,117,0.011,0.5,0.088,,,1.5,,,,0.684,The Americas,Dominica
0.022,41.2%,19,7382,"$55,433,248,935",0.054,$293,324,0.025,0.4,0.156,76,70,0.9,0.308,0.631,0.061,0.749,The Americas,Dominican Republic
0.021,35.3%,56,12942,"$76,769,729,000",0.069,$362,654,0.02,0.3,,79,73,1,0.306,0.631,0.063,0.629,The Americas,Ecuador
0.02,34.8%,17,4319,"$23,139,000,000",0.068,$252,320,0.015,0.2,,77,67,1.3,0.313,0.617,0.07,0.648,The Americas,El Salvador
